,arm_name,metric_name,mean,sem,trial_index
226,57_0,ram,0.6653734919740036,0.0,57
227,57_0,latency,0.5450501842947394,0.0,57
228,58_0,accuracy,0.9106881405563689,0.0,58
229,58_0,weight,0.6500300246874566,0.0,58
230,58_0,ram,0.6356702429607661,0.0,58
231,58_0,latency,0.5158661086359236,0.0,58
232,59_0,accuracy,0.8396624472573839,0.0,59
233,59_0,weight,0.7007625878757914,0.0,59
234,59_0,ram,0.6900697751738482,0.0,59
235,59_0,latency,0.7148224671122211,0.0,59
236,60_0,accuracy,0.8167354154390101,0.0,60
237,60_0,weight,0.643667017598658,0.0,60
238,60_0,ram,0.6049591048904661,0.0,60
239,60_0,latency,0.4596984050591548,0.0,60
240,61_0,accuracy,0.8148409893992933,0.0,61
241,61_0,weight,0.6349261488525444,0.0,61
242,61_0,ram,0.5863298764644959,0.0,61
243,61_0,latency,0.4694820461312663,0.0,61
244,62_0,accuracy,0.6313333333333333,0.0,62
245,62_0,weight,0.7606452167358738,0.0,62
246,62_0,ram,0.7601051320225797,0.0,62
247,62_0,latency,0.7182932353252246,0.0,62
248,63_0,accuracy,0.8165204678362573,0.0,63
249,63_0,weight,0.6877420693250715,0.0,63
250,63_0,ram,0.6711614931346045,0.0,63
251,63_0,latency,0.5906620504202803,0.0,63
252,64_0,accuracy,0.7225806451612904,0.0,64
253,64_0,weight,0.6459744601828903,0.0,64
254,64_0,ram,0.6324094449791148,0.0,64
255,64_0,latency,0.5833497451205263,0.0,64
256,65_0,accuracy,0.7703448275862069,0.0,65
257,65_0,weight,0.6884345887642426,0.0,65
258,65_0,ram,0.6900840180731134,0.0,65
259,65_0,latency,0.5728232480410269,0.0,65
260,66_0,accuracy,0.9273858921161826,0.0,66
261,66_0,weight,0.667863750196056,0.0,66
262,66_0,ram,0.6477418760923889,0.0,66
263,66_0,latency,0.5668543101965182,0.0,66
264,67_0,accuracy,0.7246737103791174,0.0,67
265,67_0,weight,0.674606831819886,0.0,67
266,67_0,ram,0.6367800585698856,0.0,67
267,67_0,latency,0.6242705098333025,0.0,67
268,68_0,accuracy,0.7397360703812317,0.0,68
269,68_0,weight,0.7222557853999755,0.0,68
270,68_0,ram,0.7248686885531248,0.0,68
271,68_0,latency,0.6404786861786672,0.0,68
272,69_0,accuracy,0.7565095003518649,0.0,69
273,69_0,weight,0.7433652097648772,0.0,69
274,69_0,ram,0.719788840962622,0.0,69
275,69_0,latency,0.7518669543533458,0.0,69
276,70_0,accuracy,0.6816143497757847,0.0,70
277,70_0,weight,0.6514347874405142,0.0,70
278,70_0,ram,0.610495985977166,0.0,70
279,70_0,latency,0.4955217819515902,0.0,70
280,71_0,accuracy,0.7756195579370395,0.0,71
281,71_0,weight,0.6986685677256202,0.0,71
282,71_0,ram,0.6773814426733595,0.0,71
283,71_0,latency,0.6098463002017587,0.0,71
284,72_0,accuracy,0.7890625,0.0,72
285,72_0,weight,0.7093872455068404,0.0,72
286,72_0,ram,0.7077452694396221,0.0,72
287,72_0,latency,0.6470542806006289,0.0,72
288,73_0,accuracy,0.7103688933200398,0.0,73
289,73_0,weight,0.6482730954569924,0.0,73
290,73_0,ram,0.6410935144015345,0.0,73
291,73_0,latency,0.5547304517181015,0.0,73
292,74_0,accuracy,0.8278972935461485,0.0,74
293,74_0,weight,0.6533275655050594,0.0,74
294,74_0,ram,0.6319060411770154,0.0,74
295,74_0,latency,0.4570069723990017,0.0,74
296,75_0,accuracy,0.7460750853242321,0.0,75
297,75_0,weight,0.41550957246743575,0.0,75
298,75_0,ram,0.4664485956483423,0.0,75
299,75_0,latency,0.07942836543355575,0.0,75
300,76_0,accuracy,0.7836134453781513,0.0,76
301,76_0,weight,0.7475585993661985,0.0,76
302,76_0,ram,0.7284033837542718,0.0,76
303,76_0,latency,0.807503094150282,0.0,76
304,77_0,accuracy,0.6894701542588866,0.0,77
305,77_0,weight,0.701048235183114,0.0,77
306,77_0,ram,0.6946447728094164,0.0,77
307,77_0,latency,0.5977866880041542,0.0,77
308,78_0,accuracy,0.806572068707991,0.0,78
309,78_0,weight,0.6793055432305661,0.0,78
310,78_0,ram,0.648298548531032,0.0,78
311,78_0,latency,0.6169983450600123,0.0,78
312,79_0,accuracy,0.8064102564102564,0.0,79
